1,1.1.6,स्वः,Heaven,स्वर्ग,ಸ್ವರ್ಗ,স্বর্গ,ସ୍ଵର୍ଗ,ਜੰਨਤ,স্বর্গ,स्वर्ग
2,,अमरः,Immortal,देवता,ದೇವ,অমর,ଦେବତା,ਅਵਿਨਾਸ਼ੀ,অমর,देवता
3,1.1.10,गणदेवताः,Divinity-coming from aadityas,अदिति के पुत्र ,,গণদেবতা,ଗଣଦେବତା,ਅਦਿਤਿ ਦੇ ਪੁੱਤਰ,গণদেবতা,अदितिक पुत्र 
4,1.1.11,देवयोनयः,demigods,देवताओं की जातियाँ,,বিদ্যাধর,ଦେବଯୋନି,ਦੇਵਤਾਵਾਂ ਦੀ ਜਾਤ,বিদ্যাধর,देवताक जाति
5,1.1.12,असुरः,Giant,दैत्य ,,অসুর,ଅସୁର,ਦੈਂਤ,অসুর,दैत्य 
6,1.1.13,सर्वज्ञः,A gina or buddha,भगवान् बुद्ध,,সর্বজ্ঞ,ଭଗବାନ ବୁଦ୍ଧ,ਭਗਵਾਨ ਬੁੱਧ ,সর্বজ্ঞ,भगवान् बुद्ध
7,,शाक्यमुनिः,Buddha,बुद्ध के अवान्तर भेद,,বুদ্ধ,ବୁଦ୍ଧଙ୍କ ଅବତାର,ਬੁੱਧ ਦੇ ਵਖਰੇ ਭੇਦ ,বুদ্ধ,बुद्धक अवान्तर भेद
8,,ब्रह्मा,Bramha,ब्रह्माजी,,ব্রহ্মা,ବ୍ରହ୍ମା/ସୃଷ୍ଟିକର୍ତ୍ତା,ਸੱਤਗੁਰੁ,ব্রহ্মা,ब्रह्माजी
9,,विष्णुः,Vishnu- the god,विष्णु,,বিষ্ণু,ବିଷ୍ଣୁ/ପାଳନକର୍ତ୍ତା,ਵਿਸ਼੍ਣੁ ਭਗਵਾਨ,বিষ্ণু,विष्णु
10,1.1.22,वसुदेवः,Vasudeva- father of Krishna,कृष्ण के पिता ,,বসুদেব,କୃଷ୍ଣଙ୍କ ପିତା,ਕਰਸ਼ਨ ਦੇ ਪਿਓਂ ,বসুদেব,कृष्णक पिता 
11,,बलभद्रः,Balaram,बलराम,, বলরাম,ବଳରାମ/କୃଷ୍ଣଙ୍କ ବଡ଼ଭାଇ,ਬਲਰਾਮ, বলরাম,बलराम
12,,मदनः,Kamadeva,कामदेव,, মদন,କାମଦେବ,ਕਾਮਦੇਵ, মদন,कामदेव
13,,अनिरुद्धः,The son of Pradumnya- and husband of Usha,प्रद्युम्न का पुत्र,, প্রদুম্ন্যের পুত্র এবং ঊষার স্বামী,ପ୍ରଦ୍ୟୁମ୍ନଙ୍କ ପୁତ୍ର,ਪ੍ਰਦ੍ਯੁਮਣ ਦਾ ਪੁੱਤਰ, প্রদুম্ন্যের পুত্র এবং ঊষার স্বামী,प्रद्युम्नक पुत्र
14,1.1.27,लक्ष्मीः, Laxmi- goddess of wealth,लक्ष्मीजी,, লক্ষ্মী,ଲକ୍ଷ୍ମୀ,ਲਛਮੀ, লক্ষ্মী,लक्ष्मीजी
15,,पाञ्चजन्यः,counch of Krishna,कृष्ण के शंख का नाम,, কৃষ্ণের শঙ্খ,କୃଷ୍ଣଙ୍କ ଶଙ୍ଖ,ਕ੍ੜੁਸ਼ਨ ਦਾ ਸ਼ਂਖ, কৃষ্ণের শঙ্খ,कृष्णक शंखक नाम
16,,सुदर्शनः,Disc of Krishna,विष्णु के चक्र का नाम,, কৃষ্ণের চক্র,କୃଷ୍ଣଙ୍କ ଚକ୍ର,ਵਿਸ਼੍ਣੁ ਦਾ ਚੱਕਰ, কৃষ্ণের চক্র,विष्णुक चक्रक नाम
17,,कौमोदकी,One kind of weapon of Krishna,विष्णु की गदा,, কৃষ্ণের গদা,କୃଷ୍ଣଙ୍କ ଗଦା,ਵਿਸ਼ ਦਾ ਹਥਿਯਾਰ, কৃষ্ণের গদা,विष्णुक गदा
18,,नन्दकः,One kind of weapon of Krishna,विष्णु की खड्ग का नाम,, কৃষ্ণের খড়্গ,କୃଷ୍ଣଙ୍କ ଖଡ୍ଗ,ਵਿਸ਼੍ਣੁ ਦਾ ਇੱਕ ਹਥਿਯਾਰ, কৃষ্ণের খড়্গ,विष्णुक खड्गक नाम
19,1.1.28,कौस्तुभः,Jewel of Krishna ,विष्णु की मणि का नाम,, কৃষ্ণের মণি,ବିଷ୍ଣୁଙ୍କ ମଣି,ਵਿਸ਼੍ਣੁ ਦੀ ਮਣਿ, কৃষ্ণের মণি,विष्णुक मणिक नाम
20,1.1.29,शार्ङ्गम्, The name of the bow of Krishna,विष्णु के धनुष का नाम,, কৃষ্ণের ধনুক,ବିଷ୍ଣୁଙ୍କ ଧନୁ,ਵਿਸ਼੍ਣੁ ਦਾ ਧਨੁਖ, কৃষ্ণের ধনুক,विष्णुक धनुषक नाम
21,,श्रीवत्सः, The symbol of Krishna,विष्णु के वक्षस्थल का चिन्ह,,কৃষ্ণের চিহ্ন,ବିଷ୍ଣୁଙ୍କ ଚିହ୍ନ,ਵਿਸ਼੍ਣੁ ਦੀ ਛਾਤੀ ਦਾ ਨਿਸ਼ਾਂ,কৃষ্ণের চিহ্ন,विष्णुक वक्षस्थलक चिह्न
22,,मुरार्यश्वाः,----,विष्णु के घोड़े,,----,ବିଷ୍ଣୁଙ୍କ ଘୋଡ଼ା,ਵਿਸ਼੍ਣੁ ਦੇ ਤੁਰੰਗ,----,विष्णुक घोड़ा
23,,दारुकः, Charioteer of Krishna,विष्णु का सारथी,, কৃষ্ণের সারথি,ବିଷ୍ଣୁଙ୍କ ସାରଥି,ਵਿਸ਼੍ਣੁ ਦਾ ਰਥਵਾਨ, কৃষ্ণের সারথি,विष्णुक सारथी
24,,उद्धवः, Minister of Krishna,विष्णु का मन्त्री,, কৃষ্ণের মন্ত্রী,କୃଷ୍ଣଙ୍କ ମନ୍ତ୍ରୀ,ਵਿਸ਼੍ਣੁ ਦੇ ਦੀਵਾਅ ਜਾਂ ਮੰਤਰੀ, কৃষ্ণের মন্ত্রী,विष्णुक मन्त्री
25,1.1.35,गदः, Yonger of brother of Krishna,विष्णु का अनुज,, কৃষ্ণের অনুজ,କୃଷ୍ଣଙ୍କ ଭାଇ,ਵਿਸ਼੍ਣੁ ਦਾ ਨਿੱਕਾ ਭ੍ਰਾ, কৃষ্ণের অনুজ,विष्णुक अनुज
26,,गरुत्मान्,A heavanly bird ,गरुड ,ವಿಷ್ಣುವಿನ ತಮ್ಮ, গরুড়,ଗରୁଡ଼/ବିଷ୍ଣୁଙ୍କ ବାହନ,ਗਰੱਡ, গরুড়,गरुड 
27,,शंभुः,Shiva- god   ,शिवजी,ಗರುಡ, শিব,ଶିବ, ਭਗਵਾਨ ਸ਼ਿਵ, শিব,शिवजी
28,,कपर्दः,Braided hair,शिवजी के जटाजूट का नाम,ಶಿವ, শিবের জটাজুট,ଶିବଙ୍କ ଜଟାସମୂହ,ਸ਼ਿਵ ਜੀ ਦੇ ਬਾਲ, শিবের জটাজুট,शिवजीक जटाजूटक नाम
29,1.1.38,पिनाकः,Bow of Shiva,शिवजी के धनुष का नाम,, শিবের ধনুক,ଶିବଙ୍କ ଧନୁ,ਸ਼ਿਵ ਜੀ ਦਾ ਧਨੁਖ, শিবের ধনুক,शिवजीक धनुषक नाम
30,,प्रमथाः, Attendants of Shiva,शिवजी की पारिषद का नाम,----, মহাদেবের পারিষদ,ଶିବଗଣ,ਸ਼ਿਵ ਦੀ ਮੰਡਲੀ, মহাদেবের পারিষদ,शिवजीक पारिषदक नाम
31,,मातरः, Divine mother,ब्राह्मी इत्यादि मातृ,----, স্বর্গীয মাতা,ଲୋକମାତା,ਜੰਨਤ ਦੀ ਮਾਂ, স্বর্গীয মাতা,ब्राह्मी इत्यादि मातृ
32,,विभूतिः, Super human power,ऐश्वर्य,----, বিভূতি,ସିଦ୍ଧି,ਨਾਮੀ ਗਰਾਮੀ, বিভূতি,ऐश्वर्य
33,1.1.44,उमा, Bhavaani          ,‍पार्वतीजी,----, উমা,ପାର୍ବତୀ,ਪਾਰਵਤੀ, উমা,‍पार्वतीजी
34,,विनायकः, Ganesh,गणेशजी का नाम,----, গণেশ,ଗଣେଶ,ਗਣੇਸ਼ ਜੀ ਦਾ ਨਾਂ, গণেশ,गणेशजीक नाम
35,,कार्तिकेयः, Kaarttik,स्कन्द का नाम,----, কার্ত্তিক,କାର୍ତ୍ତିକେୟ,ਕਾਰਤਿਕ , কার্ত্তিক,स्कन्दक नाम
