1.3.1,1.3.1.1,"दिशस्तु ककुभः काष्ठा आशाश्च हरितश्च ताः।"
1.3.1,1.3.1.2,"प्राच्यवाचीप्रतीच्यस्ताः पूर्वदक्षिणपश्चिमाः॥"
1.3.2,1.3.2.1,"उत्तरा दिगुदीची स्याद्दिश्यं तु त्रिषु दिग्भवे।"
1.3.2,1.3.2.2,"अवाग्भवमवाचीनमुदीचीनमुदग्भवम्।"
1.3.2,1.3.2.3,"प्रत्यग्भवं प्रतीचीनं प्राचीनं प्राग्भवं त्रिषु।"
1.3.2,1.3.2.4,"इन्द्रो वह्निः पितृपतिर्नैर्ऋतो वरुणो मरुत्।"
1.3.3,1.3.3.1,"कुबेरः ईशः पतयः पूर्वादीनां दिशां क्रमात्।"
1.3.3,1.3.3.2,"रविः शुक्रो महीसूनुः स्वर्भानुर्भानुजो विधुः।"
1.3.3,1.3.3.3,"बुधो बृहस्पतिश्चेति दिशां चैव तथा ग्रहाः।"
1.3.3,1.3.3.4,"ऐरावतः पुण्डरीको वामनः कुमुदोऽञ्जनः॥"
1.3.4,1.3.4.1,"पुष्पदन्तः सार्वभौमः सुप्रतीकश्च दिग्गजाः।"
1.3.4,1.3.4.2,"करिण्योऽभ्रमुकपिलापिङ्गलानुपमाः क्रमात्॥"
1.3.5,1.3.5.1,"ताम्रकर्णी शुभ्रदन्ती चाङ्गना चाञ्जनावती।"
1.3.5,1.3.5.2,"क्लीबाव्ययं त्वपदिशं दिशोर्मध्ये विदिक्स्त्रियाम्॥"
1.3.6,1.3.6.1,"अभ्यन्तरं त्वन्तरालं चक्रवालं तु मण्डलम्।"
1.3.6,1.3.6.2,"अभ्रं मेघो वारिवाहः स्तनयित्नुर्बलाहकः॥"
1.3.7,1.3.7.1,"धाराधरो जलधरस्तडित्वान्वारिदोऽम्बुभृत्।"
1.3.7,1.3.7.2,"घनजीमूतमुदिरजलमुग्धूमयोनयः॥"
1.3.8,1.3.8.1,"कादम्बिनी मेघमाला त्रिषु मेघभवेऽभ्रियम्।"
1.3.8,1.3.8.2,"स्तनितं गर्जितं मेघनिर्घोषे रसितादि च॥"
1.3.9,1.3.9.1,"शम्पाशतह्रदाह्रादिन्यैरावत्यः क्षणप्रभा।"
1.3.9,1.3.9.2,"तडित्सौदामनी विद्युच्चञ्चला चपला अपि॥"
1.3.10,1.3.10.1,"स्फूर्जथुर्वज्रनिर्घोषो मेघज्योतिरिरम्मदः।"
1.3.10,1.3.10.2,"इन्द्रायुधं शक्रधनुस्तदेव ऋजुरोहितम्॥"
1.3.11,1.3.11.1,"वृष्टिर्वर्षं तद्विघातेऽवग्राहावग्रहौ समौ।"
1.3.11,1.3.11.2,"धारासम्पात आसारः शीकरोऽम्बुकणाः स्मृताः॥"
1.3.12,1.3.12.1,"वर्षोपलस्तु करका मेघच्छन्नेऽह्नि दुर्दिनम्।"
1.3.12,1.3.12.2,"अन्तर्धा व्यवधा पुंसि त्वन्तर्धिरपवारणम्॥"
1.3.13,1.3.13.1,"अपिधानतिरोधानपिधानाच्छादनानि च।"
1.3.13,1.3.13.2,"हिमांशुश्चन्द्रमाश्चन्द्र इन्दुः कुमुदबान्धवः॥"
1.3.14,1.3.14.1,"विधुः सुधांशुः शुभ्रांशुरोषधीशो निशापतिः।"
1.3.14,1.3.14.2,"अब्जो जैवातृकः सोमो ग्लौर्मृगाङ्कः कलानिधिः॥"
1.3.15,1.3.15.1,"द्विजराजः शशधरो नक्षत्रेशः क्षपाकरः।"
1.3.15,1.3.15.2,"कला तु षोडशो भागो बिम्बोऽस्त्री मण्डलं त्रिषु॥"
1.3.16,1.3.16.1,"भित्तं शकलखण्डे वा पुंस्यर्धोऽर्धं समेंऽशके।"
1.3.16,1.3.16.2,"चन्द्रिका कौमुदी ज्योत्स्ना प्रसादस्तु प्रसन्नता॥"
1.3.17,1.3.17.1,"कलङ्काङ्कौ लाञ्छनं च चिह्नं लक्ष्म च लक्षणम्।"
1.3.17,1.3.17.2,"सुषमा परमा शोभा शोभा कान्तिर्द्युतिश्छविः॥"
1.3.18,1.3.18.1,"अवश्यायस्तु नीहारस्तुषारस्तुहिनं हिमम्।"
1.3.18,1.3.18.2,"प्रालेयं मिहिका चाथ हिमानी हिमसंहतिः॥"
1.3.19,1.3.19.1,"शीतं गुणे तद्वदर्थाः सुषीमः शिशिरो जडः।"
1.3.19,1.3.19.2,"तुषारः शीतलः शीतो हिमः सप्तान्यलिङ्गकाः॥"
