1.4.1,1.4.1.1,"कालो दिष्टोऽप्यनेहापि समयोऽप्यथ पक्षतिः।"
1.4.1,1.4.1.2,"प्रतिपद्द्वे इमे स्त्रीत्वे तदाद्यास्तिथयो द्वयोः॥"
1.4.2,1.4.2.1,"घस्रो दिनाहनी वा तु क्लीबे दिवसवासरौ।"
1.4.2,1.4.2.2,"प्रत्यूषोऽहर्मुखं कल्यमुषःप्रत्युषसी अपि।"
1.4.2,1.4.2.3,"व्युष्टं विभातं द्वे क्लीबे पुंसि गोसर्ग इष्यते॥"
1.4.3,1.4.3.1,"प्रभातं च दिनान्ते तु सायं सन्ध्या पितृप्रसूः।"
1.4.3,1.4.3.2,"प्राह्णापराह्णमध्याह्नास्त्रिसन्ध्यमथ शर्वरी॥"
1.4.4,1.4.4.1,"निशा निशीथिनी रात्रिस्त्रियामा क्षणदा क्षपा।"
1.4.4,1.4.4.2,"विभावरीतमस्विन्यौ रजनी यामिनी तमी॥"
1.4.5,1.4.5.1,"तमिस्रा तामसी रात्रिर्ज्यौत्स्नी चन्द्रिकयान्विता।"
1.4.5,1.4.5.2,"आगामिवर्तमानाहर्युक्तायां निशि पक्षिणी॥"
1.4.6,1.4.6.1,"गणरात्रं निशा बह्व्यः प्रदोषो रजनीमुखम्।"
1.4.6,1.4.6.2,"अर्धरात्रनिशीथौ द्वौ द्वौ यामप्रहरौ समौ॥"
1.4.7,1.4.7.1,"स पर्वसन्धिः प्रतिपत्पञ्चदश्योर्यदन्तरम्।"
1.4.7,1.4.7.2,"पक्षान्तौ पञ्चदश्यौ द्वे पौर्णमासी तु पूर्णिमा॥"
1.4.8,1.4.8.1,"कलाहीने सानुमतिः पूर्णे राका निशाकरे।"
1.4.8,1.4.8.2,"अमावास्या त्वमावस्या दर्शः सूर्येन्दुसङ्गमः॥"
1.4.9,1.4.9.1,"सा दृष्टेन्दुः सिनीवाली सा नष्टेन्दुकला कुहूः।"
1.4.9,1.4.9.2,"उपरागो ग्रहो राहुग्रस्ते त्विन्दौ च पूष्णि च॥"
1.4.10,1.4.10.1,"सोपप्लवोपरक्तौ द्वावग्न्युत्पात उपाहितः।"
1.4.10,1.4.10.2,"एकयोक्त्या पुष्पवन्तौ दिवाकरनिशाकरौ॥"
1.4.11,1.4.11.1,"अष्टादश निमेषास्तु काष्ठा त्रिंशत्तु ताः कला।"
1.4.11,1.4.11.2,"तास्तु त्रिंशत्क्षणस्ते तु मुहूर्तो द्वादशास्त्रियाम्॥"
1.4.12,1.4.12.1,"ते तु त्रिंशदहोरात्रः पक्षस्ते दशपञ्च च।"
1.4.12,1.4.12.2,"पक्षौ पूर्वापरौ शुक्लकृष्णौ मासस्तु तावुभौ॥"
1.4.13,1.4.13.1,"द्वौ द्वौ मार्गादिमासौ स्यादृतुस्तैरयनं त्रिभिः।"
1.4.13,1.4.13.2,"अयने द्वे गतिरुदग्दक्षिणार्कस्य वत्सरः॥"
1.4.14,1.4.14.1,"समरात्रिन्दिवे काले विषुवद्विषुवं च तत्।"
1.4.14,1.4.14.2,"पुष्पयुक्ता पौर्णमासी पौषी मासे तु यत्र सा।"
1.4.14,1.4.14.3,"नाम्ना स पौषो माघाद्याश्चैवमेकादशापरे।"
1.4.14,1.4.14.4,"मार्गशीर्षे सहा मार्ग आग्रहायणिकश्च सः॥"
1.4.15,1.4.15.1,"पौषे तैषसहस्यौ द्वौ तपा माघेऽथ फाल्गुने।"
1.4.15,1.4.15.2,"स्यात्तपस्यः फाल्गुनिकः स्याच्चैत्रे चैत्रिको मधुः॥"
1.4.16,1.4.16.1,"वैशाखे माधवो राधो ज्येष्ठे शुक्रः शुचिस्त्वयम्।"
1.4.16,1.4.16.2,"आषाढे श्रावणे तु स्यान्नभाः श्रावणिकश्च सः॥"
1.4.17,1.4.17.1,"स्युर्नभस्यप्रौष्ठपदभाद्रभाद्रपदाः समाः।"
1.4.17,1.4.17.2,"स्यादाश्विन इषोऽप्याश्वयुजोऽपि स्यात्तु कार्तिके॥"
1.4.18,1.4.18.1,"बाहुलोर्जौ कार्तिकिको हेमन्तः शिशिरोऽस्त्रियाम्।"
1.4.18,1.4.18.2,"वसन्ते पुष्पसमयः सुरभिर्ग्रीष्म ऊष्मकः॥"
1.4.19,1.4.19.1,"निदाघ उष्णोपगम उष्ण ऊष्मागमस्तपः।"
