1.1.1,1.1.1.1,"यस्य ज्ञानदयासिन्धोरगाधस्यानघा गुणाः।"
1.1.1,1.1.1.2,"सेव्यतामक्षयो धीराः स श्रिये चामृताय च॥"
1.1.2,1.1.2.1,"समाहृत्यान्यतन्त्राणि संक्षिप्तैः प्रतिसंस्कृतैः।"
1.1.2,1.1.2.2,"संपूर्णमुच्यते वर्गैर्नामलिङ्गानुशासनम्॥"
1.1.3,1.1.3.1,"प्रायशो रूपभेदेन साहचर्याच्च कुत्रचित्।"
1.1.3,1.1.3.2,"स्त्रीपुंनपुंसकं ज्ञेयं तद्विशेषविधेः क्वचित्॥"
1.1.4,1.1.4.1,"भेदाख्यानाय न द्वन्द्वो नैकशेषो न सङ्करः।"
1.1.4,1.1.4.2,"कृतोऽत्र भिन्नलिङ्गानामनुक्तानां क्रमादृते॥"
1.1.5,1.1.5.1,"त्रिलिङ्ग्यां त्रिष्विति पदं मिथुने तु द्वयोरिति।"
1.1.5,1.1.5.2,"निषिद्धलिङ्गं शेषार्थं त्वन्ताथादि न पूर्वभाक्॥"
1.1.6,1.1.6.1,"स्वरव्ययं स्वर्गनाकत्रिदिवत्रिदशालयाः।"
1.1.6,1.1.6.2,"सुरलोको द्योदिवौ द्वे स्त्रियां क्लीबे त्रिविष्टपम्॥"
1.1.7,1.1.7.1,"अमरा निर्जरा देवास्त्रिदशा विबुधाः सुराः।"
1.1.7,1.1.7.2,"सुपर्वाणः सुमनसस्त्रिदिवेशा दिवौकसः॥"
1.1.8,1.1.8.1,"आदितेया दिविषदो लेखा अदितिनन्दनाः।"
1.1.8,1.1.8.2,"आदित्या ऋभवोऽस्वप्ना अमर्त्या अमृतान्धसः॥"
1.1.9,1.1.9.1,"बर्हिर्मुखाः क्रतुभुजो गीर्वाणा दानवारयः।"
1.1.9,1.1.9.2,"वृन्दारका दैवतानि पुंसि वा देवताः स्त्रियाम्॥"
1.1.10,1.1.10.1,"आदित्यविश्ववसवस्तुषिता भास्वरानिलाः।"
1.1.10,1.1.10.2,"माहाराजिकसाध्याश्च रुद्राश्च गणदेवताः॥"
1.1.11,1.1.11.1,"विद्याधराप्सरोयक्षरक्षोगन्धर्वकिन्नराः।"
1.1.11,1.1.11.2,"पिशाचो गुह्यकः सिद्धो भूतोऽमी देवयोनयः॥"
1.1.12,1.1.12.1,"असुरा दैत्यदैतेयदनुजेन्द्रारिदानवाः।"
1.1.12,1.1.12.2,"शुक्रशिष्या दितिसुताः पूर्वदेवाः सुरद्विषः॥"
1.1.13,1.1.13.1,"सर्वज्ञः सुगतो बुद्धो धर्मराजस्तथागतः।"
1.1.13,1.1.13.2,"समन्तभद्रो भगवान् मारजिल्लोकजिज्जिनः॥"
1.1.14,1.1.14.1,"षडभिज्ञो दशबलोऽद्वयवादी विनायकः।"
1.1.14,1.1.14.2,"मुनीन्द्रः श्रीघनः शास्ता मुनिः शाक्यमुनिस्तु यः॥"
1.1.15,1.1.15.1,"स शाक्यसिंहः सर्वार्थसिद्धः शौद्धोदनिश्च सः।"
1.1.15,1.1.15.2,"गौतमश्चार्कबन्धुश्च मायादेवीसुतश्च सः॥"
