0,स्वर्,1.1.6,1.1.6.1.1,अव्य.,स्वर्गवर्गः,स्वर्गः
1,स्वर्ग,1.1.6,1.1.6.1.2,पुं.,स्वर्गवर्गः,स्वर्गः
2,नाक,1.1.6,1.1.6.1.3,पुं.,स्वर्गवर्गः,स्वर्गः
3,त्रिदिव,1.1.6,1.1.6.1.4,पुं.,स्वर्गवर्गः,स्वर्गः
4,त्रिदशालय,1.1.6,1.1.6.1.5,पुं.,स्वर्गवर्गः,स्वर्गः
5,सुरलोक,1.1.6,1.1.6.2.1,पुं.,स्वर्गवर्गः,स्वर्गः
6,द्यो,1.1.6,1.1.6.2.2,स्त्री.,स्वर्गवर्गः,स्वर्गः
7,दिव्,1.1.6,1.1.6.2.3,स्त्री.,स्वर्गवर्गः,स्वर्गः
8,त्रिविष्टप,1.1.6,1.1.6.2.4,नपुं.,स्वर्गवर्गः,स्वर्गः
9,अमर,1.1.7,1.1.7.1.1,पुं.,स्वर्गवर्गः,देवः
10,निर्जरस्,1.1.7,1.1.7.1.2,पुं.,स्वर्गवर्गः,देवः
11,देव,1.1.7,1.1.7.1.3,पुं.,स्वर्गवर्गः,देवः
12,त्रिदश,1.1.7,1.1.7.1.4,पुं.,स्वर्गवर्गः,देवः
13,विबुध,1.1.7,1.1.7.1.5,पुं.,स्वर्गवर्गः,देवः
14,सुर,1.1.7,1.1.7.1.6,पुं.,स्वर्गवर्गः,देवः
15,सुपर्वन्,1.1.7,1.1.7.2.1,पुं.,स्वर्गवर्गः,देवः
16,सुमनस्,1.1.7,1.1.7.2.2,पुं.,स्वर्गवर्गः,देवः
17,त्रिदिवेश,1.1.7,1.1.7.2.3,पुं.,स्वर्गवर्गः,देवः
18,दिवौकस्,1.1.7,1.1.7.2.4,पुं.,स्वर्गवर्गः,देवः
19,आदितेय,1.1.8,1.1.8.1.1,पुं.,स्वर्गवर्गः,देवः
20,दिविषद्,1.1.8,1.1.8.1.2,पुं.,स्वर्गवर्गः,देवः
21,लेख,1.1.8,1.1.8.1.3,पुं.,स्वर्गवर्गः,देवः
22,अदितिनन्दन,1.1.8,1.1.8.1.4,पुं.,स्वर्गवर्गः,देवः
23,आदित्य,1.1.8,1.1.8.2.1,पुं.,स्वर्गवर्गः,देवः
24,ऋभव,1.1.8,1.1.8.2.2,पुं.,स्वर्गवर्गः,देवः
